,Intl_Calls,Intl_Charge,Total_Minutes,Total_Charge,Min_Call,Total_Calls,Cost_Call,Region_Code
88,9,2.94,490.5,48.72,1.93,254,5.21,5
89,4,3.75,708.3,74.64,2.44,290,3.89,4
90,2,3,459.5,48.96,1.75,262,5.35,7
91,4,2.4,599.2,62.03,1.83,327,5.27,5
92,9,2.13,558.4,49.36,2.01,278,5.63,5
93,7,2.57,704.7,72.6,2.22,317,4.37,4
94,7,2.86,508,55.26,2.03,250,4.52,6
95,5,2.65,532.4,64.21,1.47,361,5.62,7
96,4,3.51,560.5,56.69,2.17,258,4.55,2
97,3,2.35,605.1,62.25,2.17,279,4.48,6
98,5,1.43,594,62.81,1.77,336,5.35,5
99,7,2.65,742.5,75.32,2.36,314,4.17,2
100,8,1.19,578,57.24,1.95,297,5.19,3
101,5,3.94,511,56.13,1.6,320,5.7,4
102,6,2.84,461.2,46.85,1.57,293,6.25,4
103,9,3.38,576.4,52.98,1.82,316,5.96,5
104,2,3.05,604.1,57.99,2.16,280,4.83,3
105,4,3.19,627.1,68.13,2.22,282,4.14,6
106,6,2.43,679.8,75.88,2.29,297,3.91,3
107,3,2.65,509.2,46.43,1.52,335,7.22,6
108,1,2.73,509.2,49,1.54,331,6.76,2
109,7,2.59,628.7,65.09,1.93,326,5.01,2
110,8,2.24,609.7,62.61,2.2,277,4.42,3
111,2,3.4,643.7,63.86,2.12,304,4.76,4
112,4,3.27,591.7,57.12,1.71,347,6.07,5
113,7,3.59,593.8,53.79,1.86,319,5.93,5
114,3,2.54,449.3,36.48,1.63,275,7.54,6
115,6,5.4,610,66.75,1.78,343,5.14,4
116,3,3.83,386.6,47.01,1.22,317,6.74,4
117,4,2.54,681.8,76.91,2.43,281,3.65,2
118,3,2.7,458.8,43.41,1.43,320,7.37,3
119,5,2.35,606.6,67.83,1.88,322,4.75,2
120,7,3.54,650.7,67.59,2.23,292,4.32,3
121,3,1.94,505,56.74,1.61,314,5.53,6
122,4,2.65,604.8,60.61,1.85,327,5.4,5
123,3,3.13,427.7,48.51,1.38,311,6.41,5
124,5,2.48,501,48.29,1.48,339,7.02,2
125,3,3.24,695.3,68.34,2.62,265,3.88,6
126,3,2.46,392.1,34.84,1.4,280,8.04,5
127,6,1.73,566.2,56.23,1.56,362,6.44,5
128,4,2.48,469.6,42.41,1.55,303,7.14,6
129,4,2.57,650.1,64.63,1.92,338,5.23,3
130,2,2.94,521,52.79,1.57,331,6.27,3
131,5,1.65,587.3,54.92,1.98,296,5.39,1
132,3,2.57,732.3,73.18,1.94,378,5.17,4
133,1,1.92,614.7,62.34,2.37,259,4.15,6
134,10,2.46,615.1,62.46,1.88,327,5.24,5
135,3,3.02,561.6,50.95,1.71,328,6.44,5
136,4,1.43,636.1,60.5,1.87,341,5.64,4
137,3,3.24,620.8,64.43,1.77,351,5.45,5
138,8,3.02,584.5,56.79,2.15,272,4.79,7
139,5,2.75,525.8,57.66,2.34,225,3.9,2
140,3,3.35,630.9,60.8,2.01,314,5.16,5
141,4,2.84,685,67.04,2.4,285,4.25,5
142,5,1.84,504.6,56.14,1.55,325,5.79,3
143,4,3.16,654.2,70.71,2.83,231,3.27,4
144,7,3.81,608.1,58.53,1.95,312,5.33,4
145,6,3.86,516.7,61.86,1.73,299,4.83,3
146,3,3.7,567.3,55.09,2.01,282,5.12,1
147,4,3.16,620.6,73.16,1.93,322,4.4,2
148,5,2.3,570,58.99,1.74,327,5.54,5
149,4,3,717.8,73.5,2.55,282,3.84,4
150,6,2.86,598.1,62.38,2.01,297,4.76,3
151,7,2.73,618.6,51.24,1.92,322,6.28,3
152,6,2.03,580.3,57.6,1.79,325,5.64,3
153,11,1.86,621.9,67.72,1.62,383,5.66,4
154,4,3.11,687.4,71.92,2.73,252,3.5,6
155,4,2.65,746.5,69.83,2.08,359,5.14,5
156,7,4.27,734.5,87.89,2.06,357,4.06,3
157,2,3.7,677.5,63.15,2,339,5.37,5
158,2,2.75,629.1,63.82,2.33,270,4.23,3
159,4,2.59,499.9,49.76,1.35,371,7.46,5
160,5,1.92,453.1,45.92,1.46,311,6.77,5
161,6,3.24,724.1,72.09,2.19,330,4.58,5
162,5,2.84,668.9,65.57,2.06,325,4.96,3
163,1,3.29,483.1,42.26,1.57,308,7.29,3
164,3,1.65,528.2,56.87,1.58,334,5.87,6
165,2,3.27,697.7,73.06,2.41,290,3.97,5
166,3,2.03,625.4,60.1,1.61,388,6.46,5
167,3,2.94,717.4,69.71,2.22,323,4.63,7
168,4,3.46,482.1,53.58,1.52,317,5.92,6
169,2,1.7,578.6,63.81,2.49,232,3.64,5
170,2,3.56,571.2,67.25,1.96,291,4.33,2
171,5,2.86,527.1,55.65,1.88,280,5.03,4
172,4,2.84,610.2,53.2,2.19,278,5.23,6
173,2,3.81,492.2,47.09,1.48,332,7.05,1
174,5,1.65,619.4,62.62,1.9,326,5.21,5
175,7,3,603.6,68,1.76,342,5.03,3
176,3,3.29,544.9,53.26,1.72,316,5.93,3
177,3,3.11,638.2,65.75,2.09,305,4.64,3
178,10,4.37,591.8,59.73,2.03,291,4.87,5
179,0,0,725.6,73.36,2.1,346,4.72,3
180,5,2.57,703.3,67.01,1.91,369,5.51,5
181,1,3.21,345.6,31.05,1.14,304,9.79,7
182,12,2.67,533.1,50.17,1.67,320,6.38,4
183,7,3.94,669,66.83,2.31,289,4.32,4
184,3,2.27,647.7,73.33,2.06,314,4.28,5
185,13,2.92,734.8,73.02,1.91,385,5.27,6
186,4,2.75,431.7,44.13,1.35,320,7.25,4
187,3,2.94,589.2,72.09,1.94,303,4.2,6
188,3,2.43,519.9,52.02,1.48,352,6.77,2
189,3,2.46,660.1,68.3,2.1,314,4.6,1
190,4,2.4,435.4,45.54,1.46,298,6.54,2
191,2,2.57,515.1,51.06,1.81,284,5.56,6
192,4,2.38,622,64.01,2.27,274,4.28,5
193,2,3.62,504.1,51.02,1.49,339,6.64,2
194,4,2.57,584.7,71.31,2.29,255,3.58,6
195,6,1.84,562.4,58.69,2.08,270,4.6,5
196,8,2.62,603.1,55.33,1.64,368,6.65,5
197,6,2.89,695.2,81.57,2.41,288,3.53,6
198,7,3.73,761.7,81.98,2.29,332,4.05,4
199,3,3.51,518.7,43.73,1.98,262,5.99,7
200,5,3.54,629.2,58.3,1.64,383,6.57,3
201,1,3.02,766.7,72.94,2.35,326,4.47,5
202,8,1.73,648.9,65.25,2.18,298,4.57,5
203,3,1.84,543,50.68,2.21,246,4.85,3
204,4,2.54,617.7,59.3,2.19,282,4.76,1
205,2,3.27,519,47.81,1.91,272,5.69,3
206,8,3.7,521.2,60.37,1.99,262,4.34,3
207,5,2.92,615.2,61.89,2.17,284,4.59,1
208,5,3.29,638.1,64.26,2.17,294,4.58,5
209,7,4.27,705.8,72.33,2.38,297,4.11,4
210,10,3.13,596.5,65.82,2.06,289,4.39,5
211,11,3.21,657.3,67.6,2.13,308,4.56,6
212,3,2.89,532.8,55.56,1.73,308,5.54,4
213,6,3.29,539.7,52.5,1.41,384,7.31,6
214,4,4.75,545.6,65.97,1.76,310,4.7,5
215,6,3.11,594.6,58.9,1.81,328,5.57,5
216,3,2.94,521.2,52.28,1.81,288,5.51,5
217,7,1.27,674.3,62.87,2.59,260,4.14,5
218,2,3.51,681.3,75.54,1.92,355,4.7,5
219,12,1.92,528.9,57.68,1.56,338,5.86,5
220,6,3.29,560.6,57.02,1.76,319,5.59,1
221,6,2.75,595.6,56.82,2.05,291,5.12,5
222,2,1.19,633.6,57.44,2.02,314,5.47,5
223,6,2.4,574.7,56.21,1.67,345,6.14,4
224,1,3.73,483.4,39.77,1.68,287,7.22,6
225,4,0.73,700.7,68.19,2.11,332,4.87,3
226,2,2.08,680.8,68.02,2.26,301,4.43,3
227,3,2.59,461.9,53.8,1.52,303,5.63,3
228,3,3.59,650.9,76.12,1.95,333,4.37,5
229,3,3.21,685,70.6,2.39,287,4.07,5
230,2,2.84,669.5,76.67,2.35,285,3.72,5
231,6,2.97,698.9,70.45,2.19,319,4.53,3
232,2,3.65,614.5,64.77,1.78,346,5.34,6
233,2,2.94,554.3,57.31,1.85,299,5.22,2
234,5,2.43,655.6,62.78,1.79,367,5.85,2
235,2,2.75,549.5,52.27,1.66,331,6.33,3
236,9,2.43,565.3,57.54,1.67,338,5.87,3
237,7,2.65,477.3,41.04,1.48,323,7.87,3
238,9,2.89,441.8,37.58,1.23,358,9.53,2
239,6,2.54,510,55.83,1.73,295,5.28,5
240,5,3.48,516.7,57.21,1.73,298,5.21,4
241,2,3.32,504.6,47.73,1.8,280,5.87,2
242,2,2.27,720,73.26,2.16,333,4.55,3
243,2,1.92,603.3,63.95,2.36,256,4,5
244,3,2.54,830.6,75.02,3.5,237,3.16,5
245,5,2.57,488.6,44.57,1.62,301,6.75,5
246,3,3,435.1,33.67,1.5,291,8.64,4
247,5,2.75,658.1,64.74,2.95,223,3.44,3
248,2,2.48,639.3,61.66,2.27,282,4.57,6
249,4,3.19,672.2,63.28,1.83,367,5.8,6
250,11,3.75,568.4,53.09,2.11,269,5.07,1
251,7,3.89,586.1,62.48,1.67,350,5.6,4
252,8,2.46,621.4,65.21,2.15,289,4.43,5
253,3,2.57,595.4,53.01,2.01,296,5.58,3
254,3,2.94,605.9,58.6,2.14,283,4.83,6
255,8,3.81,569.6,58.2,1.82,313,5.38,5
256,3,2.65,552.3,51.28,1.65,334,6.51,7
257,8,3.92,542.5,48.26,1.77,307,6.36,6
258,2,2.81,475.3,38.78,1.49,319,8.23,3
259,4,2.35,568.6,56.35,1.99,286,5.08,2
260,9,1.81,612.1,58.03,2.19,279,4.81,3
261,1,4.16,516.9,49.27,1.97,262,5.32,3
262,3,3.11,551.3,53.76,1.78,310,5.77,6
263,1,3.38,643,61.64,2.01,320,5.19,5
264,6,2.24,611.8,69.98,2.36,259,3.7,5
265,6,3.08,769.2,73.35,2.97,259,3.53,5
266,9,2.27,659.6,67.53,2.06,320,4.74,4
267,6,3.65,586.2,53.53,2.16,271,5.06,4
268,4,1.22,382.5,35.48,1.28,298,8.4,3
269,3,2.67,530.1,53.1,1.65,321,6.05,4
270,3,3.94,696,69.43,2.14,325,4.68,4
271,3,2.08,523.3,49.32,1.68,311,6.31,6
272,13,2.16,663.8,67.88,2.23,298,4.39,5
273,3,3.51,643.4,65.35,2.12,304,4.65,2
274,3,2.7,595.1,55.71,2.08,286,5.13,4
275,5,2.65,585.5,65.5,1.88,311,4.75,1
276,4,3,641.3,67.04,2.32,276,4.12,7
277,2,1.76,533.9,54.16,1.97,271,5,3
278,6,2.94,683.7,66.34,2.68,255,3.84,5
279,6,2.84,656.7,66.23,1.9,345,5.21,4
280,4,3.51,547.5,56.06,1.67,328,5.85,2
281,6,2.81,613,63.17,2.21,278,4.4,3
282,1,3.29,527.9,59.35,1.89,280,4.72,7
283,2,2.43,759.3,75.42,2.7,281,3.73,3
284,5,1.81,667.5,63.54,2.4,278,4.38,5
285,3,4.21,590.9,55.56,1.95,303,5.45,3
286,5,2.38,537.7,57.1,1.72,313,5.48,3
287,4,3.92,719.6,69.76,2.75,262,3.76,3
288,5,3.81,609.3,61.83,2.4,254,4.11,5
289,3,1.43,882.2,89.31,2.93,301,3.37,6
290,2,2.16,757.3,73.48,2.4,316,4.3,4
291,3,2.62,363.4,36.14,1.15,317,8.77,3
292,4,1.59,523.7,54.79,1.56,336,6.13,3
293,5,2.78,519.2,52.07,1.73,300,5.76,4
294,3,2.65,575.4,55.03,2.12,272,4.94,3
295,5,2.57,610.4,62.33,1.6,381,6.11,3
296,5,2.73,485.9,44.76,2.02,240,5.36,7
297,1,3.21,594.2,56.49,2.16,275,4.87,5
298,9,1.78,647.9,66.33,1.87,346,5.22,4
299,5,1.78,675.7,62.58,2.22,305,4.87,3
300,4,3.21,489.4,50.57,1.77,276,5.46,5
301,2,1.59,744.5,78.74,1.88,395,5.02,5
302,3,3.02,829.1,75.15,3.12,266,3.54,4
303,4,2.46,700.7,65.03,2.24,313,4.81,3
304,10,2.78,570,49.61,1.94,294,5.93,6
305,5,2.46,665.7,71.24,2.23,298,4.18,3
306,10,2.3,762.9,81,2.22,344,4.25,4
307,3,3.08,656.5,77.76,2.2,298,3.83,3
308,2,3.08,579.5,60.56,1.98,292,4.82,4
309,4,2.4,678,71.24,2.28,298,4.18,3
310,2,3.56,747.6,76.5,2.44,307,4.01,3
311,6,2.62,625.4,67.7,2.07,302,4.46,6
312,3,2.94,606.1,62.2,2.65,229,3.68,5
313,4,2.65,589.2,51.71,1.74,339,6.56,4
314,2,5.1,603.9,55.29,1.89,319,5.77,2
315,3,3.35,502.9,45.23,1.54,327,7.23,4
316,4,2.08,559.6,52.85,1.96,285,5.39,5
317,3,2.05,529.8,50.55,2.05,259,5.12,4
318,5,1.35,722.3,71.16,2.25,321,4.51,2
319,2,2.54,576.6,63.56,2.23,258,4.06,3
320,3,1.67,729.1,66.6,2.84,257,3.86,4
321,3,3.48,548.3,50.33,1.99,276,5.48,2
322,3,2.7,640.5,58.69,2.16,297,5.06,5
323,4,3.05,595.8,50,1.86,321,6.42,1
324,5,3.62,620.4,63.01,1.89,329,5.22,5
325,3,1.92,437.7,37.43,1.32,332,8.87,4
326,4,3.08,486.7,41.42,2.32,210,5.07,5
327,4,2.57,640.5,70.28,2,320,4.55,5
328,3,3.38,616.3,64.02,1.96,315,4.92,3
329,12,3.89,539.9,62.81,1.84,294,4.68,6
330,2,2.13,643.1,67.25,1.95,329,4.89,5
331,2,2.57,728.2,78.93,2.7,270,3.42,2
332,5,3.29,476,48.08,1.28,371,7.72,5
333,4,2.51,649.3,63.07,2.42,268,4.25,5
334,4,2.03,594.8,59.73,2.24,266,4.45,2
335,4,2.32,530.9,58.2,2.26,235,4.04,5
336,2,2.86,621.5,62.36,2.46,253,4.06,5
337,7,1.89,680.5,63.53,1.82,374,5.89,1
338,3,2.05,720.6,74.02,2.36,305,4.12,1
339,2,3.94,614.4,67.04,2.06,298,4.45,7
340,1,2.46,661.3,65.5,2.53,261,3.98,5
341,11,2.92,725.6,68.31,1.95,372,5.45,3
342,7,3.78,625.2,65.48,2.41,259,3.96,3
343,0,0,485.5,36.97,1.81,268,7.25,3
344,3,3.59,417.2,44.43,1.4,297,6.68,5
345,8,1.94,581.6,67.48,1.54,378,5.6,5
346,5,3.29,558.1,52.98,1.78,313,5.91,3
347,11,2.84,573,61.93,1.7,338,5.46,4
348,5,3.54,458.9,49.58,1.35,339,6.84,6
349,3,3.46,468.6,41.57,2.26,207,4.98,5
350,8,3.05,628.4,61.83,2.05,307,4.97,7
351,4,2.73,701.8,70.75,2.95,238,3.36,5
352,3,1.43,431.1,46.7,1.29,334,7.15,5
353,9,3.97,605.3,61.44,2.21,274,4.46,7
354,2,3.56,662.1,71.02,2.54,261,3.68,5
355,2,3.43,471.8,48.03,1.58,298,6.2,4
356,4,3.05,650.7,69.95,2.27,287,4.1,1
357,2,2.3,492.4,49.94,1.56,315,6.31,6
358,4,2.48,484.3,51.01,1.66,291,5.7,3
359,4,1.57,599,57.62,1.91,313,5.43,5
360,6,2.38,761.1,80.87,2.84,268,3.31,2
361,6,3.05,568.4,50.86,2.11,269,5.29,5
362,5,3.24,608.1,57.07,1.64,370,6.48,3
363,3,3.05,654.1,64.85,1.8,364,5.61,5
364,2,2.94,579,57.33,2,289,5.04,6
365,9,2.73,831.3,92.2,2.99,278,3.02,2
366,3,2.46,595.1,63.56,1.77,337,5.3,5
367,3,4.86,604.6,51.17,1.79,338,6.61,5
368,5,2.05,469.9,42.57,1.28,366,8.6,3
369,2,4.32,644.3,67.75,2.17,297,4.38,4
370,6,2.78,641.5,65.42,2.27,283,4.33,5
371,6,2.86,655.7,65.43,2.12,309,4.72,6
372,1,3.35,614,62.24,2.55,241,3.87,1
373,2,4,576.8,59.09,1.9,304,5.14,4
374,6,2.48,676,63.31,2.82,240,3.79,6
375,5,2.86,539.1,60.59,1.72,314,5.18,3
376,7,3.02,487.8,50.52,1.52,321,6.35,7
377,18,1.81,653,65.18,1.84,355,5.45,3
378,2,3.11,662.1,64.53,2.31,287,4.45,3
379,4,1.84,621.6,63.56,1.99,313,4.92,3
380,2,3.97,666.4,71.21,2.53,263,3.69,3
381,4,3.97,561.7,53.75,1.76,319,5.93,6
382,4,1.54,576.4,55.05,2.18,264,4.8,1
383,5,1,748,71.9,2.59,289,4.02,3
384,4,1.94,601.7,58.52,2,301,5.14,3
385,7,2.89,666,69.96,2.15,310,4.43,3
386,1,2.4,750.9,65.09,2.87,262,4.03,4
387,5,2.3,551.3,61.22,2.27,243,3.97,4
388,3,2.89,531.1,49.87,1.55,342,6.86,3
389,6,2.75,659.8,57.27,2.37,278,4.85,5
390,2,3,638,62.01,2.01,318,5.13,5
391,3,2.35,585.6,51.84,1.73,338,6.52,4
392,5,3.35,627.9,63.92,1.73,364,5.69,5
393,3,2.54,617.4,65.25,2.29,270,4.14,4
394,2,2.92,612.3,66.91,2.19,279,4.17,3
395,5,2.62,489,62.71,1.75,279,4.45,5
396,4,2.11,549.5,51.77,1.64,336,6.49,6
397,2,0.54,749.9,74.67,2.24,335,4.49,1
398,4,2.3,507.2,52.66,1.4,363,6.89,3
399,5,2.86,599.6,59.48,2.13,282,4.74,7
400,1,3.24,578.6,52.62,1.84,314,5.97,5
401,3,2.86,582.6,60.67,1.75,333,5.49,2
402,2,2.67,513,51.23,1.74,295,5.76,2
403,6,3.02,557.8,62,1.61,347,5.6,5
404,3,2.03,634.3,62.84,2.13,298,4.74,3
405,5,2.51,633.1,70.06,2.23,284,4.05,3
406,7,1.84,509.9,47.11,1.87,272,5.77,3
407,5,2.3,547.7,53.6,1.71,320,5.97,5
408,3,2.78,523.9,51.86,1.87,280,5.4,4
409,4,1.3,556.7,57.51,1.64,339,5.89,6
410,5,2.27,531.4,53.81,2,266,4.94,1
411,6,2.81,482.8,43.66,1.8,268,6.14,2
412,1,1.46,676.3,73.83,2.46,275,3.72,3
413,5,1.89,651.3,70.93,1.98,329,4.64,5
414,3,2.7,522.9,51.93,2.02,259,4.99,1
415,3,2.35,769.7,77.88,3.1,248,3.18,5
416,2,1.35,548.9,53.67,1.79,306,5.7,5
417,2,2.65,634,67.72,2.22,285,4.21,6
418,6,4.32,592.4,55.84,2.48,239,4.28,3
419,6,2.03,731.1,70.69,2.58,283,4,2
420,11,2.51,652.4,67.88,1.69,387,5.7,6
421,1,4.13,528.6,66.76,1.65,321,4.81,3
422,3,3.38,696.7,70.97,2.45,284,4,4
423,2,2.78,663,68.87,2.17,305,4.43,3
424,3,3.05,563.1,60.79,1.64,344,5.66,7
425,4,2.94,594.5,60.73,1.62,366,6.03,4
426,7,3.38,428.5,41.94,1.26,341,8.13,4
427,9,2.59,548.2,48.59,1.86,295,6.07,4
428,5,3.02,590.5,58.61,1.79,330,5.63,6
429,7,3.35,619.5,56.53,1.93,321,5.68,1
430,2,3.59,719.2,77.07,2.43,296,3.84,3
431,4,3.08,653.3,65.56,2.11,310,4.73,3
432,2,3.46,697.5,71.98,2.58,270,3.75,3
433,5,3.19,497.7,51.44,1.48,337,6.55,5
434,3,2.32,704.3,77.86,2.76,255,3.28,4
435,3,3.02,534.7,61.39,1.9,282,4.59,2
436,3,2.16,714.2,69.78,2.01,356,5.1,6
437,4,2.24,682.5,74.4,2.44,280,3.76,3
438,3,3.65,688.5,66.62,2.12,325,4.88,2
439,2,1.7,555.9,53.53,1.92,289,5.4,3
440,6,3.32,685.5,73.95,1.91,358,4.84,5
441,4,3.35,579.1,58.89,2.24,259,4.4,5
442,3,1.84,492.7,49.19,1.63,302,6.14,5
443,5,3.4,601.7,68.27,1.65,364,5.33,3
444,7,2.59,720.2,63.08,2.06,350,5.55,3
445,6,3,536.1,44.35,1.78,301,6.79,6
446,4,2.59,563,54.22,1.53,368,6.79,6
447,5,1.86,620.9,70.7,1.78,348,4.92,6
448,3,3.29,438.5,45.18,1.69,260,5.75,5
449,3,1.7,646.8,71.67,2.22,292,4.07,2
450,5,3.38,613.8,57.27,1.97,312,5.45,5
451,2,2.65,727.3,72.99,2.47,295,4.04,3
452,3,2.24,662.6,60.12,2.09,317,5.27,3
453,9,3.86,677.9,69.54,2.71,250,3.6,5
454,1,3,764.1,79.89,2.34,327,4.09,3
455,2,4,685.5,77.1,1.94,353,4.58,4
456,2,2.51,511.6,44.6,2.24,228,5.11,6
457,7,2.62,549.2,57.44,2.29,240,4.18,5
458,3,1.62,597,60.84,2.05,291,4.78,7
459,3,2.97,469.1,51.4,1.43,328,6.38,1
460,5,2.59,628.6,72,1.92,328,4.56,2
461,9,2.59,685.6,60.63,2.11,325,5.36,4
462,5,2.73,433,39.39,1.28,338,8.58,3
463,2,1.59,615.4,53.54,2.43,253,4.73,2
464,5,2.3,694.6,66.18,2.39,291,4.4,3
465,3,3.67,541.7,56.41,1.69,321,5.69,2
466,5,2.84,677.1,68.38,2.02,335,4.9,5
467,4,3.13,640.5,60.74,2.3,278,4.58,5
468,5,3,493.6,40.24,1.25,394,9.79,6
469,9,4.64,626.7,66.57,2.11,297,4.46,5
470,2,2.86,656.2,68.53,1.95,337,4.92,3
471,6,2.57,509.2,44.38,1.74,292,6.58,2
472,3,1.7,393.4,33.22,1.44,273,8.22,3
473,4,1.67,581.5,52.25,2.09,278,5.32,5
474,12,4,627.3,67.79,1.66,377,5.56,3
475,6,2.67,594.1,53.38,2.45,242,4.53,5
476,5,3.16,656.3,70.89,2.01,327,4.61,2
477,2,2.05,540.1,51.22,1.56,347,6.77,5
478,2,2.19,617,54.89,1.72,358,6.52,6
479,4,3.02,631.2,61.05,2.07,305,5,2
480,6,3.13,559.1,60.59,2.13,262,4.32,7
481,3,1.43,599.2,54.54,1.86,323,5.92,2
482,4,2.19,594.9,55,2.12,280,5.09,5
483,13,3.59,632,60.41,2.04,310,5.13,5
484,2,2.97,688.3,70.5,2.22,310,4.4,5
485,2,1.81,420.6,44.38,1.34,313,7.05,2
486,3,3.46,615.1,68.66,1.79,343,5,4
487,2,2.84,751.6,73.41,2.17,346,4.71,3
488,0,0,681.1,69.4,2.15,317,4.57,4
489,4,3.32,579.5,56.86,1.94,298,5.24,3
490,7,3.46,754.3,73.03,2,378,5.18,3
491,6,3.86,666,67.42,2.16,308,4.57,5
492,2,2.54,644.9,57.9,1.93,335,5.79,4
493,2,1.59,667.6,57.46,1.81,369,6.42,4
494,4,2.21,647,69.74,1.94,333,4.77,5
495,9,3,527.1,52.95,1.75,301,5.68,5
496,4,2.16,492.1,53.43,1.53,322,6.03,1
497,3,3.21,657.3,65.94,2.27,289,4.38,5
498,4,2.62,502.5,55.44,2.03,247,4.46,4
499,2,2.03,502.9,55.99,1.69,297,5.3,5
500,7,3.4,557.6,49.83,1.73,323,6.48,3
501,5,2.03,735.9,75.24,2.31,319,4.24,5
