,Hunger,Potter,Twilight
104,TRUE,TRUE,FALSE
105,FALSE,TRUE,FALSE
106,FALSE,FALSE,FALSE
107,FALSE,FALSE,FALSE
108,FALSE,FALSE,TRUE
109,FALSE,TRUE,FALSE
110,FALSE,FALSE,FALSE
111,FALSE,TRUE,FALSE
112,FALSE,TRUE,FALSE
113,FALSE,FALSE,FALSE
114,FALSE,TRUE,FALSE
115,FALSE,TRUE,FALSE
116,FALSE,TRUE,FALSE
117,FALSE,TRUE,FALSE
118,FALSE,FALSE,FALSE
119,FALSE,FALSE,FALSE
120,FALSE,TRUE,FALSE
121,FALSE,FALSE,FALSE
122,FALSE,FALSE,FALSE
123,FALSE,TRUE,FALSE
124,FALSE,TRUE,FALSE
125,FALSE,TRUE,FALSE
126,FALSE,TRUE,FALSE
127,FALSE,FALSE,FALSE
128,FALSE,TRUE,FALSE
129,FALSE,FALSE,FALSE
130,FALSE,FALSE,FALSE
131,FALSE,FALSE,FALSE
132,FALSE,FALSE,FALSE
133,FALSE,TRUE,FALSE
134,TRUE,FALSE,FALSE
135,FALSE,TRUE,FALSE
136,FALSE,FALSE,FALSE
137,FALSE,TRUE,FALSE
138,FALSE,FALSE,FALSE
139,TRUE,FALSE,TRUE
140,FALSE,TRUE,FALSE
141,FALSE,TRUE,FALSE
142,FALSE,TRUE,FALSE
143,FALSE,FALSE,FALSE
144,FALSE,FALSE,FALSE
145,FALSE,FALSE,FALSE
146,FALSE,TRUE,FALSE
147,FALSE,FALSE,FALSE
148,FALSE,FALSE,FALSE
149,FALSE,TRUE,FALSE
150,FALSE,FALSE,FALSE
151,FALSE,TRUE,FALSE
152,FALSE,FALSE,FALSE
153,FALSE,TRUE,FALSE
154,FALSE,FALSE,FALSE
155,FALSE,TRUE,FALSE
156,FALSE,TRUE,FALSE
157,FALSE,TRUE,FALSE
158,FALSE,FALSE,FALSE
159,FALSE,TRUE,FALSE
160,FALSE,FALSE,FALSE
161,FALSE,TRUE,FALSE
162,FALSE,TRUE,FALSE
163,FALSE,TRUE,FALSE
164,FALSE,TRUE,FALSE
165,FALSE,FALSE,FALSE
166,FALSE,FALSE,FALSE
167,FALSE,FALSE,FALSE
168,TRUE,FALSE,FALSE
169,TRUE,FALSE,FALSE
170,TRUE,TRUE,TRUE
171,FALSE,TRUE,FALSE
172,FALSE,TRUE,FALSE
173,FALSE,FALSE,FALSE
174,FALSE,FALSE,FALSE
175,FALSE,FALSE,FALSE
176,FALSE,TRUE,FALSE
177,FALSE,TRUE,FALSE
178,FALSE,TRUE,FALSE
179,FALSE,FALSE,FALSE
180,FALSE,FALSE,FALSE
181,TRUE,TRUE,TRUE
182,FALSE,TRUE,FALSE
183,FALSE,FALSE,FALSE
184,FALSE,FALSE,FALSE
185,FALSE,FALSE,FALSE
186,FALSE,FALSE,FALSE
187,FALSE,FALSE,FALSE
188,FALSE,FALSE,FALSE
189,FALSE,FALSE,FALSE
190,FALSE,TRUE,TRUE
191,FALSE,TRUE,FALSE
192,FALSE,FALSE,FALSE
193,FALSE,TRUE,FALSE
194,FALSE,FALSE,FALSE
195,FALSE,TRUE,FALSE
196,FALSE,FALSE,FALSE
197,FALSE,FALSE,FALSE
198,FALSE,TRUE,FALSE
199,FALSE,TRUE,FALSE
200,TRUE,TRUE,TRUE
201,FALSE,TRUE,FALSE
202,TRUE,TRUE,FALSE
203,TRUE,FALSE,FALSE
204,FALSE,FALSE,TRUE
205,FALSE,TRUE,FALSE
206,FALSE,TRUE,FALSE
207,FALSE,FALSE,FALSE
208,FALSE,TRUE,FALSE
209,FALSE,FALSE,FALSE
210,TRUE,TRUE,FALSE
211,FALSE,TRUE,FALSE
212,FALSE,TRUE,TRUE
213,FALSE,FALSE,FALSE
214,FALSE,TRUE,FALSE
215,FALSE,FALSE,FALSE
216,FALSE,FALSE,FALSE
217,FALSE,TRUE,FALSE
218,FALSE,FALSE,TRUE
219,TRUE,TRUE,TRUE
220,FALSE,FALSE,FALSE
221,TRUE,FALSE,TRUE
222,FALSE,TRUE,FALSE
223,FALSE,FALSE,FALSE
224,FALSE,FALSE,FALSE
225,TRUE,TRUE,FALSE
226,FALSE,FALSE,FALSE
227,TRUE,TRUE,FALSE
228,TRUE,FALSE,FALSE
229,FALSE,FALSE,FALSE
230,FALSE,TRUE,FALSE
231,FALSE,TRUE,FALSE
232,FALSE,FALSE,FALSE
233,FALSE,TRUE,FALSE
234,FALSE,TRUE,FALSE
235,TRUE,TRUE,FALSE
236,FALSE,TRUE,FALSE
237,FALSE,TRUE,FALSE
238,FALSE,TRUE,FALSE
239,FALSE,FALSE,FALSE
240,FALSE,TRUE,FALSE
241,TRUE,TRUE,FALSE
242,FALSE,TRUE,FALSE
243,FALSE,TRUE,FALSE
244,FALSE,TRUE,FALSE
245,FALSE,TRUE,FALSE
246,FALSE,TRUE,FALSE
247,FALSE,FALSE,FALSE
248,FALSE,FALSE,FALSE
249,FALSE,TRUE,TRUE
250,FALSE,FALSE,TRUE
251,FALSE,TRUE,FALSE
252,FALSE,FALSE,FALSE
253,FALSE,TRUE,FALSE
254,TRUE,FALSE,FALSE
255,TRUE,TRUE,FALSE
256,FALSE,TRUE,FALSE
257,FALSE,FALSE,TRUE
258,FALSE,TRUE,TRUE
259,FALSE,TRUE,TRUE
260,FALSE,TRUE,FALSE
261,TRUE,TRUE,FALSE
262,FALSE,FALSE,FALSE
263,FALSE,TRUE,FALSE
264,FALSE,TRUE,TRUE
265,FALSE,FALSE,TRUE
266,FALSE,FALSE,FALSE
267,FALSE,FALSE,FALSE
268,FALSE,FALSE,FALSE
269,FALSE,FALSE,TRUE
270,FALSE,TRUE,FALSE
271,FALSE,FALSE,FALSE
272,FALSE,FALSE,FALSE
273,FALSE,FALSE,FALSE
274,FALSE,TRUE,FALSE
275,FALSE,FALSE,FALSE
276,TRUE,FALSE,FALSE
277,FALSE,FALSE,FALSE
278,FALSE,TRUE,TRUE
279,FALSE,FALSE,FALSE
280,FALSE,FALSE,FALSE
281,FALSE,TRUE,FALSE
282,FALSE,TRUE,FALSE
283,FALSE,TRUE,FALSE
284,FALSE,TRUE,FALSE
285,TRUE,FALSE,TRUE
286,FALSE,FALSE,FALSE
287,FALSE,FALSE,TRUE
288,FALSE,TRUE,FALSE
289,FALSE,TRUE,FALSE
290,FALSE,TRUE,FALSE
291,FALSE,FALSE,TRUE
292,FALSE,TRUE,FALSE
293,FALSE,TRUE,TRUE
294,FALSE,TRUE,TRUE
295,FALSE,TRUE,TRUE
296,FALSE,TRUE,FALSE
297,FALSE,FALSE,FALSE
298,FALSE,FALSE,FALSE
299,FALSE,TRUE,FALSE
300,FALSE,FALSE,FALSE
301,FALSE,FALSE,TRUE
302,FALSE,FALSE,TRUE
303,FALSE,FALSE,FALSE
304,FALSE,TRUE,FALSE
305,FALSE,TRUE,FALSE
306,FALSE,FALSE,FALSE
307,FALSE,TRUE,FALSE
308,FALSE,TRUE,FALSE
309,FALSE,FALSE,FALSE
310,FALSE,FALSE,FALSE
311,TRUE,TRUE,TRUE
312,FALSE,TRUE,FALSE
313,FALSE,TRUE,TRUE
314,FALSE,FALSE,FALSE
315,FALSE,FALSE,FALSE
316,FALSE,TRUE,TRUE
317,FALSE,TRUE,FALSE
318,FALSE,FALSE,FALSE
319,FALSE,TRUE,FALSE
320,FALSE,FALSE,FALSE
321,FALSE,TRUE,TRUE
322,FALSE,FALSE,FALSE
323,FALSE,FALSE,FALSE
324,FALSE,TRUE,FALSE
325,FALSE,TRUE,FALSE
326,TRUE,TRUE,FALSE
327,FALSE,TRUE,FALSE
328,FALSE,TRUE,TRUE
329,FALSE,TRUE,FALSE
330,FALSE,TRUE,FALSE
331,FALSE,FALSE,TRUE
332,FALSE,TRUE,FALSE
333,FALSE,TRUE,FALSE
334,FALSE,FALSE,FALSE
335,FALSE,TRUE,FALSE
336,TRUE,FALSE,TRUE
337,TRUE,TRUE,FALSE
338,FALSE,TRUE,FALSE
339,FALSE,TRUE,TRUE
340,FALSE,TRUE,FALSE
341,FALSE,FALSE,FALSE
342,FALSE,FALSE,FALSE
343,FALSE,TRUE,FALSE
344,FALSE,TRUE,FALSE
345,FALSE,TRUE,FALSE
346,FALSE,FALSE,FALSE
347,FALSE,FALSE,FALSE
348,FALSE,TRUE,TRUE
349,FALSE,TRUE,FALSE
350,FALSE,TRUE,FALSE
351,FALSE,TRUE,FALSE
352,FALSE,FALSE,FALSE
353,FALSE,FALSE,FALSE
354,FALSE,FALSE,FALSE
355,FALSE,FALSE,TRUE
356,FALSE,TRUE,TRUE
357,FALSE,FALSE,FALSE
358,FALSE,FALSE,FALSE
359,FALSE,FALSE,FALSE
360,FALSE,FALSE,FALSE
361,TRUE,TRUE,TRUE
362,FALSE,FALSE,FALSE
363,TRUE,FALSE,TRUE
364,FALSE,FALSE,TRUE
365,FALSE,FALSE,FALSE
366,FALSE,FALSE,FALSE
367,FALSE,TRUE,FALSE
368,FALSE,FALSE,FALSE
369,FALSE,TRUE,FALSE
370,TRUE,TRUE,FALSE
371,FALSE,TRUE,FALSE
372,FALSE,FALSE,FALSE
373,TRUE,TRUE,FALSE
374,FALSE,FALSE,FALSE
375,FALSE,TRUE,TRUE
376,FALSE,FALSE,TRUE
377,FALSE,TRUE,FALSE
378,FALSE,FALSE,FALSE
379,FALSE,TRUE,FALSE
380,TRUE,TRUE,FALSE
381,FALSE,FALSE,FALSE
382,FALSE,TRUE,FALSE
383,FALSE,TRUE,FALSE
384,FALSE,FALSE,FALSE
385,FALSE,TRUE,TRUE
386,FALSE,TRUE,FALSE
387,FALSE,TRUE,TRUE
388,FALSE,TRUE,FALSE
389,FALSE,FALSE,FALSE
390,FALSE,FALSE,FALSE
391,FALSE,FALSE,FALSE
392,FALSE,TRUE,FALSE
393,TRUE,TRUE,TRUE
394,FALSE,TRUE,FALSE
395,FALSE,FALSE,FALSE
396,FALSE,FALSE,FALSE
397,FALSE,TRUE,FALSE
398,FALSE,TRUE,FALSE
399,FALSE,FALSE,FALSE
400,FALSE,TRUE,FALSE
401,FALSE,FALSE,FALSE
402,FALSE,TRUE,FALSE
403,FALSE,TRUE,FALSE
404,FALSE,TRUE,FALSE
405,FALSE,TRUE,TRUE
406,FALSE,FALSE,FALSE
407,FALSE,FALSE,FALSE
408,FALSE,TRUE,FALSE
409,FALSE,TRUE,FALSE
410,FALSE,FALSE,FALSE
411,FALSE,TRUE,FALSE
412,FALSE,FALSE,FALSE
413,FALSE,TRUE,FALSE
414,FALSE,TRUE,FALSE
415,FALSE,TRUE,FALSE
416,FALSE,TRUE,FALSE
417,FALSE,FALSE,FALSE
418,FALSE,FALSE,TRUE
419,FALSE,TRUE,FALSE
420,FALSE,TRUE,FALSE
421,FALSE,FALSE,FALSE
422,FALSE,FALSE,FALSE
423,FALSE,TRUE,FALSE
424,FALSE,TRUE,FALSE
425,FALSE,FALSE,FALSE
426,FALSE,FALSE,TRUE
427,FALSE,FALSE,FALSE
428,FALSE,TRUE,FALSE
429,FALSE,TRUE,FALSE
430,FALSE,TRUE,TRUE
431,FALSE,TRUE,FALSE
432,FALSE,TRUE,TRUE
433,FALSE,TRUE,FALSE
434,FALSE,TRUE,FALSE
435,TRUE,FALSE,TRUE
436,FALSE,FALSE,FALSE
437,FALSE,FALSE,FALSE
438,FALSE,TRUE,FALSE
439,FALSE,TRUE,FALSE
440,FALSE,TRUE,FALSE
441,FALSE,FALSE,FALSE
442,FALSE,FALSE,FALSE
443,FALSE,TRUE,FALSE
444,FALSE,FALSE,FALSE
445,FALSE,TRUE,FALSE
446,FALSE,TRUE,FALSE
447,FALSE,FALSE,FALSE
448,FALSE,TRUE,FALSE
449,FALSE,FALSE,FALSE
450,FALSE,TRUE,FALSE
451,FALSE,TRUE,FALSE
452,FALSE,TRUE,FALSE
453,FALSE,TRUE,FALSE
454,FALSE,FALSE,FALSE
455,FALSE,FALSE,FALSE
456,FALSE,TRUE,FALSE
457,FALSE,TRUE,FALSE
458,TRUE,TRUE,TRUE
459,FALSE,FALSE,FALSE
460,TRUE,TRUE,FALSE
461,FALSE,FALSE,FALSE
462,FALSE,FALSE,FALSE
463,FALSE,TRUE,FALSE
464,FALSE,FALSE,FALSE
465,FALSE,FALSE,FALSE
466,FALSE,TRUE,FALSE
467,TRUE,TRUE,TRUE
468,FALSE,TRUE,FALSE
469,FALSE,TRUE,FALSE
470,FALSE,TRUE,FALSE
471,FALSE,TRUE,FALSE
472,FALSE,FALSE,FALSE
473,FALSE,TRUE,FALSE
474,TRUE,TRUE,FALSE
475,FALSE,TRUE,FALSE
476,FALSE,TRUE,FALSE
477,FALSE,FALSE,FALSE
478,TRUE,TRUE,TRUE
479,FALSE,FALSE,FALSE
480,FALSE,TRUE,FALSE
481,FALSE,TRUE,TRUE
482,FALSE,TRUE,FALSE
483,FALSE,FALSE,FALSE
484,FALSE,FALSE,FALSE
485,FALSE,TRUE,TRUE
486,FALSE,TRUE,FALSE
487,FALSE,TRUE,FALSE
488,FALSE,FALSE,FALSE
489,FALSE,FALSE,FALSE
490,FALSE,TRUE,FALSE
491,FALSE,FALSE,FALSE
492,FALSE,FALSE,FALSE
493,FALSE,FALSE,FALSE
494,FALSE,FALSE,TRUE
495,TRUE,FALSE,FALSE
496,FALSE,FALSE,FALSE
497,FALSE,FALSE,FALSE
498,FALSE,FALSE,FALSE
499,FALSE,TRUE,FALSE
500,FALSE,TRUE,FALSE
501,FALSE,TRUE,FALSE
502,FALSE,TRUE,FALSE
503,FALSE,FALSE,FALSE
504,FALSE,FALSE,FALSE
505,FALSE,FALSE,FALSE
506,FALSE,FALSE,FALSE
507,TRUE,TRUE,FALSE
508,FALSE,TRUE,FALSE
509,FALSE,TRUE,FALSE
510,FALSE,FALSE,FALSE
511,FALSE,FALSE,FALSE
512,FALSE,FALSE,FALSE
513,FALSE,TRUE,FALSE
514,FALSE,FALSE,TRUE
515,FALSE,TRUE,FALSE
516,FALSE,FALSE,FALSE
517,FALSE,TRUE,FALSE
518,FALSE,FALSE,FALSE
519,FALSE,FALSE,FALSE
520,TRUE,TRUE,FALSE
521,FALSE,TRUE,FALSE
522,FALSE,TRUE,TRUE
523,FALSE,FALSE,FALSE
524,FALSE,FALSE,FALSE
525,FALSE,TRUE,FALSE
526,FALSE,FALSE,TRUE
527,FALSE,TRUE,FALSE
528,FALSE,TRUE,FALSE
529,FALSE,FALSE,FALSE
530,FALSE,TRUE,FALSE
531,FALSE,TRUE,FALSE
532,FALSE,TRUE,FALSE
533,FALSE,TRUE,TRUE
534,FALSE,FALSE,FALSE
535,FALSE,FALSE,FALSE
536,FALSE,FALSE,FALSE
537,FALSE,FALSE,FALSE
538,FALSE,TRUE,FALSE
539,FALSE,FALSE,FALSE
540,FALSE,FALSE,FALSE
541,FALSE,FALSE,FALSE
542,FALSE,TRUE,FALSE
543,FALSE,FALSE,FALSE
544,TRUE,TRUE,FALSE
545,FALSE,FALSE,FALSE
546,FALSE,FALSE,TRUE
547,FALSE,FALSE,FALSE
548,FALSE,FALSE,FALSE
549,FALSE,FALSE,FALSE
550,FALSE,TRUE,FALSE
551,FALSE,FALSE,TRUE
552,FALSE,FALSE,FALSE
553,FALSE,TRUE,FALSE
554,FALSE,FALSE,FALSE
555,FALSE,FALSE,FALSE
556,FALSE,TRUE,FALSE
557,FALSE,FALSE,FALSE
558,FALSE,TRUE,FALSE
559,FALSE,TRUE,FALSE
560,FALSE,FALSE,TRUE
561,FALSE,TRUE,FALSE
562,FALSE,FALSE,FALSE
563,FALSE,TRUE,FALSE
564,FALSE,FALSE,FALSE
565,FALSE,TRUE,FALSE
566,FALSE,FALSE,FALSE
567,FALSE,TRUE,FALSE
568,FALSE,FALSE,FALSE
569,FALSE,TRUE,FALSE
570,FALSE,TRUE,FALSE
571,FALSE,TRUE,FALSE
572,FALSE,TRUE,FALSE
573,FALSE,FALSE,TRUE
574,FALSE,FALSE,FALSE
575,TRUE,FALSE,TRUE
576,TRUE,TRUE,FALSE
577,FALSE,FALSE,FALSE
578,FALSE,FALSE,FALSE
579,FALSE,FALSE,FALSE
580,FALSE,TRUE,FALSE
581,FALSE,TRUE,TRUE
582,FALSE,FALSE,FALSE
583,FALSE,FALSE,FALSE
584,FALSE,TRUE,FALSE
585,FALSE,FALSE,TRUE
586,FALSE,FALSE,FALSE
587,FALSE,FALSE,FALSE
588,FALSE,FALSE,FALSE
589,FALSE,TRUE,FALSE
590,FALSE,TRUE,FALSE
591,TRUE,FALSE,FALSE
592,FALSE,FALSE,FALSE
593,TRUE,FALSE,TRUE
594,FALSE,FALSE,FALSE
595,TRUE,TRUE,TRUE
596,FALSE,TRUE,FALSE
597,FALSE,FALSE,FALSE
598,FALSE,FALSE,FALSE
599,FALSE,TRUE,FALSE
600,FALSE,FALSE,FALSE
601,FALSE,TRUE,FALSE
602,FALSE,TRUE,FALSE
603,FALSE,FALSE,FALSE
604,FALSE,TRUE,FALSE
605,FALSE,TRUE,FALSE
606,FALSE,TRUE,FALSE
607,FALSE,TRUE,TRUE
608,FALSE,TRUE,FALSE
609,FALSE,FALSE,FALSE
610,FALSE,FALSE,FALSE
611,FALSE,TRUE,FALSE
612,FALSE,TRUE,TRUE
613,FALSE,FALSE,FALSE
614,FALSE,TRUE,TRUE
615,FALSE,FALSE,FALSE
616,FALSE,FALSE,FALSE
617,FALSE,TRUE,FALSE
618,FALSE,TRUE,FALSE
619,FALSE,TRUE,FALSE
620,FALSE,FALSE,FALSE
621,FALSE,FALSE,FALSE
622,TRUE,TRUE,TRUE
623,FALSE,TRUE,FALSE
624,FALSE,TRUE,FALSE
625,FALSE,TRUE,FALSE
626,FALSE,TRUE,FALSE
627,FALSE,FALSE,FALSE
628,FALSE,TRUE,FALSE
629,FALSE,TRUE,FALSE
630,FALSE,FALSE,TRUE
631,FALSE,TRUE,FALSE
632,TRUE,TRUE,FALSE
633,FALSE,TRUE,FALSE
634,FALSE,FALSE,FALSE
635,FALSE,TRUE,FALSE
636,FALSE,TRUE,FALSE
637,FALSE,FALSE,FALSE
638,FALSE,FALSE,FALSE
639,FALSE,TRUE,FALSE
640,FALSE,FALSE,FALSE
641,FALSE,TRUE,TRUE
642,FALSE,TRUE,FALSE
643,FALSE,TRUE,FALSE
644,FALSE,TRUE,TRUE
645,FALSE,TRUE,FALSE
646,FALSE,TRUE,FALSE
647,FALSE,TRUE,FALSE
648,FALSE,FALSE,FALSE
649,FALSE,FALSE,FALSE
650,FALSE,TRUE,FALSE
651,FALSE,FALSE,FALSE
652,FALSE,FALSE,FALSE
653,FALSE,TRUE,FALSE
654,TRUE,TRUE,FALSE
655,FALSE,FALSE,FALSE
656,FALSE,TRUE,FALSE
657,FALSE,TRUE,FALSE
658,FALSE,TRUE,TRUE
659,FALSE,FALSE,FALSE
660,FALSE,TRUE,FALSE
661,FALSE,FALSE,FALSE
662,FALSE,FALSE,FALSE
663,TRUE,TRUE,TRUE
664,TRUE,FALSE,FALSE
665,FALSE,TRUE,FALSE
666,FALSE,FALSE,FALSE
667,FALSE,TRUE,FALSE
668,FALSE,TRUE,FALSE
669,FALSE,TRUE,TRUE
670,TRUE,FALSE,FALSE
671,TRUE,FALSE,FALSE
672,TRUE,TRUE,FALSE
673,FALSE,FALSE,TRUE
674,FALSE,FALSE,FALSE
675,FALSE,FALSE,TRUE
676,FALSE,TRUE,TRUE
677,TRUE,TRUE,TRUE
678,FALSE,FALSE,FALSE
679,FALSE,TRUE,FALSE
680,FALSE,TRUE,FALSE
681,FALSE,FALSE,FALSE
682,FALSE,FALSE,FALSE
683,TRUE,TRUE,FALSE
684,FALSE,FALSE,FALSE
685,FALSE,TRUE,FALSE
686,FALSE,FALSE,FALSE
687,FALSE,FALSE,FALSE
688,FALSE,TRUE,FALSE
689,TRUE,TRUE,FALSE
690,FALSE,FALSE,FALSE
691,FALSE,TRUE,FALSE
692,FALSE,FALSE,TRUE
693,FALSE,FALSE,FALSE
694,TRUE,FALSE,TRUE
695,FALSE,TRUE,FALSE
696,FALSE,TRUE,FALSE
697,TRUE,TRUE,TRUE
698,FALSE,TRUE,TRUE
699,FALSE,TRUE,FALSE
700,TRUE,TRUE,TRUE
701,FALSE,TRUE,TRUE
702,FALSE,TRUE,FALSE
703,FALSE,TRUE,TRUE
704,TRUE,TRUE,FALSE
705,FALSE,FALSE,FALSE
706,FALSE,TRUE,FALSE
707,FALSE,FALSE,FALSE
708,TRUE,TRUE,TRUE
709,FALSE,TRUE,FALSE
710,FALSE,FALSE,FALSE
711,FALSE,TRUE,FALSE
712,FALSE,FALSE,FALSE
713,FALSE,FALSE,TRUE
714,FALSE,TRUE,FALSE
715,FALSE,FALSE,FALSE
716,FALSE,TRUE,TRUE
717,FALSE,FALSE,FALSE
718,TRUE,FALSE,TRUE
719,FALSE,TRUE,FALSE
720,TRUE,TRUE,TRUE
721,FALSE,TRUE,FALSE
722,FALSE,FALSE,FALSE
723,FALSE,TRUE,FALSE
724,TRUE,TRUE,TRUE
725,FALSE,FALSE,FALSE
726,FALSE,FALSE,FALSE
727,FALSE,TRUE,FALSE
728,FALSE,FALSE,TRUE
729,TRUE,FALSE,TRUE
730,FALSE,TRUE,FALSE
731,FALSE,TRUE,FALSE
732,FALSE,FALSE,FALSE
733,TRUE,FALSE,FALSE
734,FALSE,TRUE,TRUE
735,FALSE,TRUE,FALSE
736,FALSE,TRUE,FALSE
737,TRUE,TRUE,TRUE
738,FALSE,FALSE,FALSE
739,FALSE,TRUE,FALSE
740,TRUE,FALSE,TRUE
741,TRUE,FALSE,TRUE
742,FALSE,TRUE,FALSE
743,FALSE,TRUE,FALSE
744,TRUE,TRUE,TRUE
745,FALSE,TRUE,FALSE
746,FALSE,TRUE,FALSE
747,FALSE,FALSE,FALSE
748,FALSE,TRUE,FALSE
749,FALSE,FALSE,FALSE
750,TRUE,TRUE,TRUE
751,TRUE,FALSE,TRUE
752,FALSE,TRUE,FALSE
753,FALSE,FALSE,FALSE
754,FALSE,FALSE,FALSE
755,FALSE,TRUE,FALSE
756,FALSE,FALSE,FALSE
757,FALSE,TRUE,TRUE
758,FALSE,FALSE,FALSE
759,FALSE,FALSE,FALSE
760,FALSE,FALSE,FALSE
761,FALSE,TRUE,FALSE
762,FALSE,TRUE,FALSE
763,FALSE,FALSE,TRUE
764,FALSE,TRUE,FALSE
765,TRUE,TRUE,FALSE
766,TRUE,TRUE,FALSE
767,FALSE,FALSE,FALSE
768,FALSE,TRUE,TRUE
769,TRUE,TRUE,TRUE
770,FALSE,TRUE,FALSE
771,FALSE,TRUE,FALSE
772,FALSE,FALSE,FALSE
773,FALSE,TRUE,TRUE
774,FALSE,TRUE,FALSE
775,FALSE,FALSE,TRUE
776,TRUE,TRUE,TRUE
777,FALSE,FALSE,TRUE
778,FALSE,TRUE,FALSE
779,FALSE,TRUE,TRUE
780,FALSE,TRUE,FALSE
781,FALSE,FALSE,FALSE
782,FALSE,TRUE,FALSE
783,FALSE,FALSE,FALSE
784,FALSE,FALSE,FALSE
785,FALSE,TRUE,FALSE
786,FALSE,TRUE,FALSE
787,FALSE,FALSE,FALSE
788,FALSE,FALSE,FALSE
789,TRUE,FALSE,FALSE
790,FALSE,TRUE,FALSE
791,FALSE,FALSE,FALSE
792,FALSE,FALSE,FALSE
793,FALSE,FALSE,FALSE
794,FALSE,FALSE,TRUE
795,FALSE,FALSE,FALSE
796,TRUE,FALSE,FALSE
797,FALSE,TRUE,FALSE
798,FALSE,FALSE,FALSE
799,TRUE,FALSE,FALSE
800,TRUE,FALSE,TRUE
801,FALSE,FALSE,FALSE
802,FALSE,TRUE,FALSE
803,FALSE,FALSE,TRUE
804,FALSE,TRUE,FALSE
805,FALSE,FALSE,FALSE
806,FALSE,TRUE,FALSE
807,FALSE,FALSE,FALSE
808,FALSE,FALSE,FALSE
809,FALSE,FALSE,FALSE
810,FALSE,TRUE,TRUE
811,FALSE,TRUE,FALSE
812,FALSE,FALSE,TRUE
813,TRUE,FALSE,FALSE
814,FALSE,TRUE,FALSE
815,TRUE,TRUE,FALSE
816,FALSE,TRUE,TRUE
817,FALSE,FALSE,FALSE
818,FALSE,TRUE,TRUE
819,FALSE,TRUE,FALSE
820,FALSE,TRUE,FALSE
