,bag,box,candle,sign
179,FALSE,FALSE,FALSE,TRUE
180,FALSE,FALSE,FALSE,TRUE
181,TRUE,FALSE,FALSE,FALSE
182,FALSE,TRUE,FALSE,FALSE
183,FALSE,TRUE,FALSE,FALSE
184,TRUE,FALSE,FALSE,FALSE
185,FALSE,TRUE,FALSE,FALSE
186,FALSE,TRUE,FALSE,FALSE
187,FALSE,TRUE,FALSE,FALSE
188,TRUE,FALSE,FALSE,FALSE
189,FALSE,FALSE,TRUE,FALSE
190,TRUE,FALSE,FALSE,FALSE
191,FALSE,TRUE,FALSE,FALSE
192,FALSE,TRUE,FALSE,FALSE
193,FALSE,TRUE,FALSE,FALSE
194,FALSE,FALSE,TRUE,FALSE
195,FALSE,TRUE,TRUE,FALSE
196,FALSE,TRUE,FALSE,FALSE
197,TRUE,FALSE,FALSE,FALSE
198,FALSE,TRUE,FALSE,FALSE
199,FALSE,FALSE,FALSE,TRUE
200,TRUE,FALSE,FALSE,FALSE
201,FALSE,FALSE,TRUE,FALSE
202,FALSE,FALSE,FALSE,TRUE
203,TRUE,FALSE,FALSE,FALSE
204,TRUE,FALSE,FALSE,TRUE
205,FALSE,FALSE,FALSE,TRUE
206,FALSE,FALSE,FALSE,TRUE
207,TRUE,FALSE,FALSE,FALSE
208,TRUE,FALSE,FALSE,TRUE
209,FALSE,TRUE,FALSE,FALSE
210,FALSE,FALSE,FALSE,TRUE
211,FALSE,FALSE,FALSE,TRUE
212,FALSE,FALSE,FALSE,TRUE
213,FALSE,FALSE,TRUE,FALSE
214,FALSE,TRUE,FALSE,FALSE
215,FALSE,FALSE,FALSE,TRUE
216,FALSE,FALSE,FALSE,TRUE
217,FALSE,TRUE,FALSE,FALSE
218,FALSE,FALSE,FALSE,TRUE
219,FALSE,FALSE,FALSE,TRUE
220,FALSE,FALSE,FALSE,TRUE
221,TRUE,FALSE,FALSE,FALSE
222,FALSE,FALSE,FALSE,TRUE
223,FALSE,TRUE,FALSE,FALSE
224,FALSE,TRUE,FALSE,FALSE
225,FALSE,FALSE,FALSE,TRUE
226,FALSE,FALSE,FALSE,TRUE
227,FALSE,FALSE,FALSE,TRUE
228,TRUE,FALSE,FALSE,FALSE
229,TRUE,FALSE,FALSE,TRUE
230,FALSE,FALSE,FALSE,TRUE
231,TRUE,FALSE,FALSE,FALSE
232,FALSE,TRUE,FALSE,FALSE
233,TRUE,FALSE,FALSE,FALSE
234,FALSE,FALSE,FALSE,TRUE
235,FALSE,FALSE,FALSE,TRUE
236,FALSE,TRUE,FALSE,FALSE
237,TRUE,FALSE,FALSE,FALSE
238,TRUE,FALSE,FALSE,FALSE
239,TRUE,FALSE,FALSE,FALSE
240,FALSE,FALSE,TRUE,FALSE
241,TRUE,FALSE,FALSE,FALSE
242,FALSE,FALSE,FALSE,TRUE
243,FALSE,FALSE,TRUE,FALSE
244,FALSE,FALSE,FALSE,TRUE
245,TRUE,FALSE,FALSE,FALSE
246,FALSE,FALSE,FALSE,TRUE
247,FALSE,FALSE,FALSE,TRUE
248,TRUE,FALSE,FALSE,FALSE
249,TRUE,FALSE,FALSE,FALSE
250,TRUE,FALSE,FALSE,FALSE
251,FALSE,FALSE,FALSE,TRUE
252,FALSE,TRUE,FALSE,FALSE
253,TRUE,FALSE,FALSE,FALSE
254,FALSE,FALSE,FALSE,TRUE
255,TRUE,FALSE,FALSE,FALSE
256,TRUE,FALSE,FALSE,FALSE
257,TRUE,TRUE,FALSE,FALSE
258,FALSE,FALSE,FALSE,TRUE
259,TRUE,FALSE,FALSE,FALSE
260,TRUE,FALSE,FALSE,FALSE
261,FALSE,FALSE,FALSE,TRUE
262,FALSE,TRUE,FALSE,FALSE
263,FALSE,FALSE,FALSE,TRUE
264,TRUE,FALSE,FALSE,FALSE
265,FALSE,TRUE,FALSE,FALSE
266,TRUE,FALSE,FALSE,FALSE
267,TRUE,FALSE,FALSE,TRUE
268,FALSE,TRUE,FALSE,FALSE
269,TRUE,FALSE,FALSE,FALSE
270,TRUE,FALSE,FALSE,TRUE
271,TRUE,FALSE,FALSE,FALSE
272,TRUE,FALSE,FALSE,FALSE
273,FALSE,FALSE,FALSE,TRUE
274,TRUE,FALSE,FALSE,FALSE
275,TRUE,FALSE,FALSE,FALSE
276,FALSE,FALSE,TRUE,FALSE
277,TRUE,FALSE,FALSE,FALSE
278,TRUE,FALSE,FALSE,FALSE
279,TRUE,FALSE,FALSE,TRUE
280,TRUE,FALSE,FALSE,FALSE
281,TRUE,FALSE,FALSE,TRUE
282,FALSE,TRUE,TRUE,FALSE
283,FALSE,TRUE,FALSE,FALSE
284,TRUE,FALSE,FALSE,FALSE
285,FALSE,FALSE,FALSE,TRUE
286,FALSE,FALSE,FALSE,TRUE
287,TRUE,FALSE,FALSE,TRUE
288,TRUE,FALSE,FALSE,FALSE
289,FALSE,FALSE,FALSE,TRUE
290,FALSE,FALSE,FALSE,TRUE
291,TRUE,FALSE,FALSE,TRUE
292,FALSE,FALSE,TRUE,FALSE
293,FALSE,TRUE,FALSE,FALSE
294,TRUE,FALSE,FALSE,FALSE
295,FALSE,TRUE,FALSE,FALSE
296,FALSE,TRUE,FALSE,FALSE
297,TRUE,FALSE,FALSE,FALSE
298,FALSE,TRUE,FALSE,FALSE
299,FALSE,FALSE,FALSE,TRUE
300,TRUE,FALSE,FALSE,TRUE
301,FALSE,FALSE,FALSE,TRUE
302,FALSE,FALSE,FALSE,TRUE
303,TRUE,FALSE,FALSE,FALSE
304,FALSE,TRUE,FALSE,FALSE
305,FALSE,FALSE,FALSE,TRUE
306,FALSE,FALSE,FALSE,TRUE
307,FALSE,FALSE,FALSE,TRUE
308,FALSE,TRUE,FALSE,FALSE
309,FALSE,FALSE,TRUE,FALSE
310,FALSE,FALSE,TRUE,FALSE
311,TRUE,FALSE,FALSE,FALSE
312,FALSE,TRUE,FALSE,FALSE
313,TRUE,FALSE,FALSE,FALSE
314,TRUE,FALSE,FALSE,FALSE
315,TRUE,FALSE,FALSE,TRUE
316,TRUE,FALSE,FALSE,FALSE
317,FALSE,TRUE,FALSE,FALSE
318,TRUE,FALSE,FALSE,FALSE
319,FALSE,TRUE,FALSE,FALSE
320,FALSE,FALSE,FALSE,TRUE
321,FALSE,TRUE,FALSE,FALSE
322,FALSE,TRUE,FALSE,FALSE
323,FALSE,TRUE,TRUE,FALSE
324,TRUE,FALSE,FALSE,FALSE
325,FALSE,TRUE,FALSE,FALSE
326,TRUE,FALSE,FALSE,FALSE
327,FALSE,FALSE,FALSE,TRUE
328,FALSE,TRUE,FALSE,FALSE
329,FALSE,FALSE,TRUE,FALSE
330,FALSE,FALSE,FALSE,TRUE
331,TRUE,FALSE,FALSE,FALSE
332,FALSE,FALSE,FALSE,TRUE
333,TRUE,FALSE,FALSE,FALSE
334,TRUE,FALSE,FALSE,FALSE
335,FALSE,TRUE,FALSE,FALSE
336,FALSE,FALSE,TRUE,FALSE
337,FALSE,FALSE,TRUE,FALSE
338,FALSE,TRUE,FALSE,FALSE
339,FALSE,TRUE,FALSE,FALSE
340,TRUE,FALSE,FALSE,FALSE
341,TRUE,FALSE,FALSE,TRUE
342,TRUE,FALSE,FALSE,FALSE
343,FALSE,TRUE,FALSE,FALSE
344,TRUE,FALSE,FALSE,FALSE
345,TRUE,FALSE,FALSE,FALSE
346,FALSE,FALSE,TRUE,FALSE
347,FALSE,TRUE,FALSE,FALSE
348,TRUE,FALSE,FALSE,TRUE
349,FALSE,TRUE,FALSE,FALSE
350,FALSE,TRUE,FALSE,FALSE
351,FALSE,TRUE,FALSE,FALSE
352,TRUE,FALSE,FALSE,FALSE
353,TRUE,FALSE,FALSE,FALSE
354,TRUE,FALSE,FALSE,FALSE
355,TRUE,FALSE,FALSE,FALSE
356,TRUE,FALSE,FALSE,TRUE
357,FALSE,TRUE,FALSE,FALSE
358,FALSE,TRUE,FALSE,FALSE
359,FALSE,FALSE,FALSE,TRUE
360,TRUE,FALSE,FALSE,TRUE
361,FALSE,FALSE,FALSE,TRUE
362,TRUE,FALSE,FALSE,FALSE
363,TRUE,FALSE,FALSE,FALSE
364,FALSE,FALSE,FALSE,TRUE
365,TRUE,FALSE,FALSE,FALSE
366,FALSE,FALSE,FALSE,TRUE
367,FALSE,FALSE,FALSE,TRUE
368,TRUE,FALSE,FALSE,TRUE
369,TRUE,FALSE,FALSE,FALSE
370,FALSE,FALSE,FALSE,TRUE
